GENDER,AGE,AGE_GROUP,INVESTMENT,INCOME,ACTIVITY, YRLY_AMT,AVG_DAILY_TX,YRLY_TX,AVG_TX_AMT,NEGTWEETS,STATE,EDUCATION,label
F,37,31-40,0,20386,3,9961.35,0.69,253,39.37,4,NV,High school graduate,0
M,37,31-40,0,20384,1,8945.79,0.65,238,37.59,8,OR,High school graduate,1
M,47,41-50,0,20384,4,8630.03,0.65,239,36.11,2,NE,High school graduate,0
F,44,41-50,0,20382,2,9884.26,0.70,256,38.61,4,NM,High school graduate,0
F,73,Above 50,0,20381,2,8981.30,0.66,241,37.27,3,NH,High school graduate,0
M,34,31-40,0,20380,4,9165.75,0.66,242,37.88,4,WV,High school graduate,0
F,42,41-50,0,20379,5,8689.69,0.66,241,36.06,2,ME,Associate degree,0
F,64,Above 50,0,20374,3,9607.36,0.70,254,37.82,1,PA,Associate degree,0
F,40,31-40,0,20371,3,10072.80,0.70,257,39.19,4,NM,High school graduate,0
F,34,31-40,0,20369,4,8980.64,0.66,242,37.11,2,NM,Associate degree,0
M,45,41-50,7726,20368,0,9857.61,0.69,251,39.27,10,MI,Associate degree,1
F,44,41-50,0,20365,1,8594.82,0.66,240,35.81,7,MD,High school graduate,1
F,42,41-50,0,20365,5,9828.01,0.70,254,38.69,2,WI,High school graduate,0
F,44,41-50,0,20361,1,9881.24,0.69,252,39.21,2,AL,High school graduate,0
M,48,41-50,0,20360,3,8854.01,0.66,240,36.89,4,MA,Associate degree,0
M,60,Above 50,0,20352,4,8836.66,0.67,244,36.22,2,CA,Associate degree,0
M,49,41-50,0,20351,3,9093.35,0.66,240,37.89,2,WV,High school graduate,0
F,48,41-50,0,20351,0,9153.30,0.66,242,37.82,2,DC,High school graduate,0
F,57,Above 50,0,20351,1,8718.39,0.66,242,36.03,3,VT,Associate degree,0
F,26,20-30,0,20349,2,9922.51,0.70,257,38.61,7,MD,Associate degree,1
F,24,20-30,0,20349,1,8545.19,0.65,239,35.75,1,NM,High school graduate,0
F,40,31-40,0,20346,0,10331.20,0.70,256,40.36,10,ID,High school graduate,1
F,38,31-40,0,20342,2,8713.85,0.67,243,35.86,3,DC,Associate degree,0
F,44,41-50,0,20342,2,9805.91,0.70,254,38.61,4,NE,Associate degree,0
M,71,Above 50,0,20341,0,8525.40,0.65,238,35.82,2,MD,High school graduate,0
M,58,Above 50,0,20341,4,9876.69,0.69,253,39.04,13,WA,High school graduate,1
F,35,31-40,0,20338,1,9631.01,0.70,255,37.77,7,ND,High school graduate,1
M,87,Above 50,0,20330,0,9942.12,0.69,253,39.30,1,NE,High school graduate,0
M,47,41-50,0,20329,3,8855.33,0.67,243,36.44,4,NC,High school graduate,0
M,62,Above 50,0,20327,3,8946.91,0.67,245,36.52,4,IA,High school graduate,0
M,48,41-50,0,20326,0,10207.30,0.71,258,39.56,4,NM,Associate degree,0
M,78,Above 50,0,20323,0,8604.46,0.67,243,35.41,3,NV,High school graduate,0
F,64,Above 50,0,20322,2,9545.13,0.70,255,37.43,3,KS,High school graduate,0
F,59,Above 50,0,20321,5,8900.14,0.67,246,36.18,2,ME,High school graduate,0
M,34,31-40,0,20321,2,8931.54,0.67,244,36.60,2,UT,High school graduate,0
F,60,Above 50,0,20319,1,9941.64,0.70,254,39.14,3,IA,High school graduate,0
M,27,20-30,0,20318,1,9091.01,0.66,242,37.57,10,OR,High school graduate,1
F,59,Above 50,0,20317,2,10049.80,0.70,257,39.10,3,UT,High school graduate,0
M,23,20-30,0,20315,5,8770.05,0.66,241,36.39,3,SC,High school graduate,0
M,50,,0,20313,4,9083.75,0.67,245,37.08,3,ME,High school graduate,0
F,81,Above 50,0,20309,2,8988.71,0.67,246,36.54,1,WI,High school graduate,0
F,55,Above 50,0,20309,3,10133.60,0.70,255,39.74,5,DC,High school graduate,0
M,53,Above 50,0,20308,4,10079.20,0.70,256,39.37,11,MD,High school graduate,1
M,37,31-40,0,20307,2,9968.89,0.70,255,39.09,2,VT,Associate degree,0
F,32,31-40,0,20303,1,9983.14,0.70,255,39.15,10,ID,Associate degree,1
F,63,Above 50,0,20295,2,9906.11,0.70,255,38.85,3,CT,High school graduate,0
F,67,Above 50,0,20283,5,8855.24,0.66,241,36.74,2,IL,Associate degree,0
M,34,31-40,0,20278,1,9768.56,0.70,256,38.16,13,WA,Associate degree,1
F,49,41-50,0,20276,3,8736.50,0.66,242,36.10,3,MO,High school graduate,0
F,64,Above 50,0,20274,3,8950.53,0.66,241,37.14,4,MN,High school graduate,0
F,48,41-50,0,20274,2,9948.51,0.70,254,39.17,3,WY,High school graduate,0
F,27,20-30,0,20270,4,10057.80,0.70,256,39.29,8,CA,High school graduate,1
F,71,Above 50,0,20265,3,8936.26,0.66,242,36.93,3,IN,Associate degree,0
F,56,Above 50,0,20264,3,8788.95,0.66,242,36.32,4,CA,Associate degree,0
M,42,41-50,0,20255,1,9559.79,0.70,255,37.49,14,CA,Associate degree,1
M,41,,0,20253,0,8889.34,0.66,241,36.89,9,OR,High school graduate,1
F,30,20-30,0,20250,3,9829.59,0.69,252,39.01,3,IL,High school graduate,0
M,65,Above 50,0,20246,2,8673.24,0.66,242,35.84,3,AZ,High school graduate,0
F,30,20-30,0,20243,4,9033.91,0.66,242,37.33,11,CA,High school graduate,1
M,57,Above 50,0,20243,3,9752.57,0.70,255,38.25,5,PA,Associate degree,1
M,59,Above 50,0,20241,4,10261.40,0.69,251,40.88,4,AL,High school graduate,0
M,41,,0,20238,5,8904.33,0.66,242,36.79,3,OH,High school graduate,0
F,22,20-30,0,20238,4,8645.65,0.67,243,35.58,1,MS,High school graduate,0
F,58,Above 50,0,20237,2,8768.19,0.67,244,35.94,3,WI,High school graduate,0
F,41,,0,20235,5,9788.70,0.70,254,38.54,3,SD,High school graduate,0
F,54,Above 50,0,20232,4,9840.40,0.70,255,38.59,2,OR,Associate degree,0
M,56,Above 50,0,20227,3,8815.98,0.66,240,36.73,13,MI,High school graduate,1
M,74,Above 50,0,20220,2,8807.44,0.67,243,36.24,4,TX,High school graduate,0
F,48,41-50,0,20216,1,8812.79,0.66,240,36.72,2,IA,High school graduate,0
M,49,41-50,13758,20216,2,8768.18,0.65,239,36.69,2,SD,Bachelors degree,0
F,51,Above 50,0,20214,0,8821.44,0.66,241,36.60,4,GA,High school graduate,0
F,38,31-40,0,20213,4,8710.35,0.67,244,35.70,2,LA,High school graduate,0
F,48,41-50,0,20206,2,8750.08,0.66,240,36.46,4,NV,High school graduate,0
F,39,31-40,0,20205,1,8877.43,0.66,242,36.68,8,WA,High school graduate,1
M,46,41-50,0,20205,2,9702.90,0.70,257,37.75,3,MN,Associate degree,0
F,33,31-40,0,20204,4,10041.90,0.70,257,39.07,3,MN,Associate degree,0
F,47,41-50,0,20204,2,9815.52,0.69,253,38.80,4,DE,High school graduate,0
F,31,31-40,0,20203,2,9631.30,0.69,252,38.22,10,PA,Associate degree,1
M,36,31-40,0,20202,5,9602.93,0.70,254,37.81,3,ND,High school graduate,0
F,30,20-30,0,20200,1,8688.22,0.65,238,36.51,3,MA,Associate degree,0
M,56,Above 50,0,20190,3,9626.92,0.68,250,38.51,3,NM,High school graduate,0
M,23,20-30,0,20181,1,10011.00,0.70,257,38.95,13,ND,High school graduate,1
F,35,31-40,0,20179,5,9941.35,0.70,257,38.68,5,FL,High school graduate,0
F,69,Above 50,0,20176,4,8718.63,0.66,241,36.18,4,WY,High school graduate,0
F,32,31-40,0,20172,0,8663.75,0.66,240,36.10,12,OR,Associate degree,1
M,60,Above 50,0,20170,1,8757.70,0.66,241,36.34,4,NV,Associate degree,0
M,70,Above 50,0,20170,3,8533.67,0.65,237,36.01,3,MO,High school graduate,0
M,31,31-40,0,20168,2,9036.73,0.66,240,37.65,10,MI,High school graduate,1
F,46,41-50,0,20167,2,8608.54,0.67,243,35.43,3,NJ,Associate degree,0
M,21,20-30,0,20161,3,9952.62,0.70,254,39.18,3,KY,High school graduate,0
F,72,Above 50,0,20160,5,9839.22,0.69,253,38.89,2,ND,High school graduate,0
M,46,41-50,0,20159,0,10184.60,0.70,254,40.10,15,WA,High school graduate,1
F,47,41-50,0,20156,1,8526.77,0.65,238,35.83,11,MD,Associate degree,1
F,62,Above 50,0,20155,2,8388.29,0.66,240,34.95,3,SD,High school graduate,0
F,85,Above 50,0,20152,5,9934.93,0.70,255,38.96,3,MA,High school graduate,0
F,36,31-40,0,20152,2,8622.45,0.66,242,35.63,4,AK,Associate degree,0
F,62,Above 50,0,20151,2,9868.64,0.70,254,38.85,2,VA,Associate degree,0
M,45,41-50,0,20149,3,8820.31,0.67,243,36.30,2,MD,Associate degree,0
M,57,Above 50,0,20148,2,9927.78,0.70,256,38.78,2,KY,High school graduate,0
M,65,Above 50,0,20147,5,9674.31,0.70,255,37.94,3,MI,High school graduate,0
M,90,Above 50,0,20147,5,8861.71,0.67,244,36.32,1,GA,Associate degree,0
M,48,41-50,11258,20142,1,8800.02,0.65,239,36.82,7,MD,Bachelors degree,1
M,21,20-30,0,20138,4,9784.24,0.70,256,38.22,5,ME,High school graduate,0
M,65,Above 50,0,20138,1,10126.00,0.70,254,39.87,3,WI,High school graduate,0
F,63,Above 50,0,20137,4,8714.16,0.66,242,36.01,5,IA,High school graduate,0
M,54,Above 50,0,20135,3,8633.12,0.66,240,35.97,4,PA,High school graduate,0
F,27,20-30,0,20123,2,8595.95,0.66,242,35.52,4,KS,High school graduate,0
M,69,Above 50,0,20122,1,10024.70,0.70,256,39.16,8,WA,High school graduate,1
M,29,20-30,0,20122,0,9054.84,0.67,245,36.96,10,MI,High school graduate,1
F,68,Above 50,0,20120,4,9988.78,0.70,256,39.02,2,KS,Associate degree,0
M,41,,0,20120,4,8800.95,0.67,243,36.22,2,MS,High school graduate,0
M,44,41-50,0,20118,4,8706.71,0.65,239,36.43,2,FL,High school graduate,0
F,41,,0,20118,1,8959.06,0.67,243,36.87,13,ND,High school graduate,1
M,82,Above 50,0,20115,1,8556.28,0.66,242,35.36,5,AK,Associate degree,0
F,46,41-50,0,20106,3,9695.04,0.70,256,37.87,8,MI,High school graduate,1
F,45,41-50,0,20101,1,8689.26,0.67,243,35.76,7,CA,Associate degree,1
M,58,Above 50,0,20098,1,8702.57,0.65,238,36.57,5,OR,High school graduate,0
M,81,Above 50,0,20095,1,9166.13,0.65,238,38.51,2,LA,Associate degree,0
M,50,,0,20095,2,8355.95,0.66,240,34.82,3,IA,High school graduate,0
M,41,,0,20094,1,10137.80,0.70,255,39.76,12,MD,High school graduate,1
M,55,Above 50,0,20093,3,9749.51,0.70,255,38.23,3,DE,High school graduate,0
M,36,31-40,0,20093,2,8958.51,0.65,238,37.64,3,PA,High school graduate,0
M,42,41-50,0,20091,2,8567.73,0.67,243,35.26,2,NE,High school graduate,0
F,49,41-50,0,20089,1,8544.36,0.65,239,35.75,17,ND,Associate degree,1
F,49,41-50,0,20089,5,10078.10,0.70,254,39.68,2,ND,High school graduate,0
M,22,20-30,0,20088,2,8732.26,0.66,241,36.23,11,PA,High school graduate,1
F,45,41-50,0,20088,5,9761.68,0.70,257,37.98,4,DC,High school graduate,0
M,54,Above 50,11593,20086,2,8726.19,0.66,240,36.36,1,OK,Bachelors degree,0
M,49,41-50,0,20080,1,8935.89,0.65,239,37.39,2,LA,Associate degree,0
F,30,20-30,0,20079,2,8704.06,0.65,237,36.73,3,NH,High school graduate,0
M,24,20-30,6313,20077,1,8505.18,0.66,240,35.44,15,MD,Bachelors degree,1
M,38,31-40,0,20077,4,9918.80,0.70,256,38.75,2,VA,High school graduate,0
M,26,20-30,0,20071,2,10076.60,0.71,258,39.06,4,IA,Associate degree,0
M,43,41-50,0,20069,2,8603.82,0.65,239,36.00,3,PA,High school graduate,0
F,61,Above 50,0,20069,3,8931.15,0.66,242,36.91,3,MA,High school graduate,0
F,72,Above 50,0,20067,2,9978.94,0.71,258,38.68,2,NE,High school graduate,0
F,33,31-40,0,20062,1,9942.13,0.70,257,38.69,9,PA,High school graduate,1
M,59,Above 50,0,20060,2,8865.66,0.65,239,37.09,3,MD,Associate degree,0
M,54,Above 50,0,20060,2,8641.28,0.66,241,35.86,4,ND,High school graduate,0
M,45,41-50,0,20046,2,10099.40,0.69,253,39.92,2,AL,Associate degree,0
F,21,20-30,0,20045,3,9045.26,0.67,243,37.22,4,RI,High school graduate,0
F,75,Above 50,0,20044,5,8888.95,0.67,243,36.58,2,NE,Associate degree,0
F,33,31-40,0,20041,5,9861.62,0.70,255,38.67,4,AL,Associate degree,0
M,30,20-30,0,20041,0,8523.21,0.66,240,35.51,9,ND,High school graduate,1
F,41,,0,20038,4,8820.45,0.66,242,36.45,2,FL,High school graduate,0
M,30,20-30,0,20038,3,8846.51,0.67,243,36.41,4,UT,Associate degree,0
F,55,Above 50,0,20037,3,8538.99,0.66,241,35.43,5,MA,Associate degree,0
F,53,Above 50,0,20037,5,8601.56,0.66,242,35.54,2,MN,Associate degree,0
M,33,31-40,0,20035,4,8898.26,0.67,243,36.62,5,GA,Associate degree,0
M,39,31-40,0,20034,0,8546.29,0.66,241,35.46,3,RI,High school graduate,0
F,39,31-40,0,20034,5,10041.50,0.69,253,39.69,5,WA,High school graduate,1
M,49,41-50,14625,20032,0,8607.27,0.66,242,35.57,4,NC,Bachelors degree,0
F,55,Above 50,0,20032,1,8566.46,0.66,240,35.69,10,MI,Associate degree,1
F,53,Above 50,0,20031,0,8532.14,0.66,242,35.26,3,DC,High school graduate,0
M,70,Above 50,0,20030,2,8660.32,0.66,241,35.93,2,LA,Associate degree,0
F,39,31-40,0,20027,3,8703.39,0.66,242,35.96,4,CT,Associate degree,0
M,51,Above 50,0,20024,2,9717.60,0.70,255,38.11,5,ID,High school graduate,0
M,44,41-50,0,20024,0,8781.68,0.66,240,36.59,11,CA,Associate degree,1
F,44,41-50,0,20022,5,8916.37,0.67,245,36.39,3,MD,High school graduate,0
F,64,Above 50,0,20022,2,9538.69,0.70,255,37.41,2,WV,High school graduate,0
F,56,Above 50,0,20019,4,8833.97,0.65,239,36.96,2,NY,High school graduate,0
F,53,Above 50,0,20018,1,9015.58,0.67,245,36.80,4,OK,High school graduate,0
M,48,41-50,0,20017,2,9437.18,0.70,254,37.15,4,MS,High school graduate,0
M,31,31-40,0,20017,2,8820.13,0.67,244,36.15,8,MI,High school graduate,1
M,47,41-50,0,20008,4,8497.81,0.67,243,34.97,4,NM,High school graduate,0
F,52,Above 50,0,20008,0,9918.10,0.70,254,39.05,12,PA,Associate degree,1
F,48,41-50,0,20007,5,8802.41,0.66,242,36.37,3,KY,Associate degree,0
M,54,Above 50,0,20005,4,9699.98,0.70,256,37.89,3,SC,Associate degree,0
F,55,Above 50,0,20000,3,8748.43,0.65,239,36.60,6,CA,High school graduate,1
M,46,41-50,0,19994,3,9044.40,0.66,242,37.37,1,IN,High school graduate,0
F,27,20-30,0,19993,2,9435.75,0.70,254,37.15,3,ME,High school graduate,0
F,45,41-50,0,19992,4,8700.26,0.66,241,36.10,7,ID,High school graduate,1
F,50,,0,19991,2,8848.36,0.66,242,36.56,3,NJ,High school graduate,0
M,49,41-50,0,19985,2,8612.44,0.66,240,35.89,3,TX,Associate degree,0
F,30,20-30,0,19981,2,8826.44,0.67,244,36.17,3,UT,High school graduate,0
F,51,Above 50,0,19978,0,8689.90,0.66,240,36.21,2,ND,Associate degree,0
F,42,41-50,0,19978,1,8834.92,0.66,240,36.81,10,OR,Associate degree,1
F,79,Above 50,0,19977,0,8641.66,0.66,241,35.86,1,AL,High school graduate,0
M,43,41-50,0,19977,1,8626.18,0.66,240,35.94,8,MI,High school graduate,1
M,72,Above 50,0,19974,3,9523.41,0.70,255,37.35,5,CT,High school graduate,0
M,27,20-30,0,19971,1,9910.74,0.70,254,39.02,12,MI,High school graduate,1
M,60,Above 50,0,19970,1,8544.18,0.65,239,35.75,14,ND,Associate degree,1
F,70,Above 50,0,19965,0,8856.93,0.66,242,36.60,2,VA,High school graduate,0
F,47,41-50,0,19962,2,8431.93,0.65,238,35.43,5,TX,High school graduate,0
F,21,20-30,0,19961,2,8746.40,0.66,242,36.14,8,MI,High school graduate,1
M,34,31-40,0,19960,2,8593.70,0.66,240,35.81,2,VT,High school graduate,0
M,62,Above 50,0,19956,1,9809.25,0.70,255,38.47,3,ID,High school graduate,1
M,40,31-40,0,19954,2,8746.17,0.66,241,36.29,2,ND,High school graduate,0
M,46,41-50,0,19953,2,9049.81,0.66,242,37.40,2,WA,Associate degree,0
M,29,20-30,0,19945,1,9404.48,0.69,253,37.17,1,DC,Associate degree,0
M,74,Above 50,0,19945,1,8516.21,0.66,242,35.19,3,WA,High school graduate,0
F,66,Above 50,0,19935,2,9830.54,0.69,253,38.86,4,IN,Associate degree,0
M,46,41-50,0,19935,3,8641.10,0.66,242,35.71,4,AR,Associate degree,0
F,37,31-40,0,19934,5,9971.52,0.70,256,38.95,4,MI,Associate degree,1
M,26,20-30,0,19931,2,9890.73,0.70,254,38.94,3,ND,High school graduate,0
M,51,Above 50,0,19931,3,8807.65,0.66,242,36.40,4,SD,High school graduate,0
F,66,Above 50,0,19928,1,8913.57,0.66,242,36.83,4,AZ,High school graduate,0
F,48,41-50,0,19928,2,8823.58,0.66,241,36.61,2,KY,High school graduate,0
F,53,Above 50,0,19920,2,8642.49,0.65,238,36.31,3,MN,High school graduate,0
M,41,,0,19918,0,8743.86,0.65,239,36.59,8,MD,High school graduate,1
M,39,31-40,0,19911,1,8690.52,0.66,242,35.91,4,SC,High school graduate,0
M,46,41-50,0,19910,2,9837.46,0.70,256,38.43,4,FL,High school graduate,0
F,38,31-40,0,19906,0,8685.87,0.66,242,35.89,10,WA,High school graduate,1
F,31,31-40,0,19902,2,8956.22,0.66,242,37.01,2,ME,Associate degree,0
F,56,Above 50,0,19901,2,8650.06,0.66,240,36.04,4,NE,High school graduate,0
M,50,,0,19900,2,8488.88,0.67,243,34.93,3,MA,High school graduate,0
M,39,31-40,0,19899,2,9442.92,0.70,256,36.89,3,WV,High school graduate,0
M,39,31-40,0,19899,2,8604.31,0.66,240,35.85,2,IA,High school graduate,0
M,43,41-50,0,19893,3,9796.92,0.70,257,38.12,4,MA,Associate degree,0
M,43,41-50,0,19890,1,8401.11,0.66,242,34.72,10,ND,High school graduate,1
M,30,20-30,0,19889,2,9742.01,0.70,257,37.91,4,ND,High school graduate,1
M,42,41-50,0,19888,2,8611.44,0.66,240,35.88,3,SD,Associate degree,0
M,50,,0,19888,1,8688.18,0.66,240,36.20,4,KY,High school graduate,0
F,27,20-30,0,19884,4,8781.96,0.66,240,36.59,9,ID,High school graduate,1
F,32,31-40,0,19880,2,9807.02,0.71,259,37.86,11,ND,Associate degree,1
F,67,Above 50,0,19880,0,9751.04,0.69,251,38.85,2,PA,High school graduate,1
F,65,Above 50,0,19877,5,8839.32,0.66,240,36.83,11,CA,High school graduate,1
M,33,31-40,0,19874,3,9451.40,0.69,253,37.36,2,OH,High school graduate,0
M,55,Above 50,0,19871,2,9837.95,0.69,253,38.89,12,ID,High school graduate,1
F,38,31-40,0,19870,5,8883.26,0.66,242,36.71,3,MA,Associate degree,0
F,60,Above 50,0,19868,3,9755.08,0.70,255,38.26,4,MA,High school graduate,0
M,67,Above 50,0,19862,1,10215.10,0.71,258,39.59,4,LA,High school graduate,0
M,34,31-40,0,19860,3,8884.27,0.66,242,36.71,3,IN,High school graduate,0
F,38,31-40,0,19856,2,8489.74,0.65,238,35.67,2,NC,High school graduate,0
M,25,20-30,0,19854,5,8626.69,0.66,242,35.65,16,WA,Associate degree,1
M,28,20-30,0,19853,4,8493.90,0.66,241,35.24,2,AL,Associate degree,0
F,85,Above 50,0,19850,0,8562.28,0.67,243,35.24,6,ME,High school graduate,0
M,37,31-40,0,19842,1,8882.83,0.67,243,36.55,8,WA,Associate degree,1
M,42,41-50,0,19840,0,8643.91,0.67,243,35.57,16,ID,High school graduate,1
M,61,Above 50,0,19839,1,9604.42,0.70,254,37.81,11,PA,High school graduate,1
M,53,Above 50,0,19834,2,8297.16,0.65,239,34.72,4,KS,Associate degree,0
F,51,Above 50,0,19832,1,8653.75,0.66,241,35.91,1,RI,High school graduate,0
M,66,Above 50,0,19830,2,9671.78,0.70,256,37.78,3,AZ,Associate degree,0
F,59,Above 50,0,19830,1,8525.25,0.66,241,35.37,2,ND,High school graduate,0
M,36,31-40,0,19828,5,9839.49,0.70,256,38.44,4,NM,High school graduate,0
M,49,41-50,0,19826,1,8913.82,0.67,243,36.68,13,ND,High school graduate,1
M,76,Above 50,0,19821,2,10004.10,0.70,257,38.93,3,NE,Associate degree,0
F,57,Above 50,0,19820,0,8459.55,0.65,237,35.69,8,WA,High school graduate,1
F,60,Above 50,0,19819,5,8550.90,0.67,244,35.04,3,LA,High school graduate,0
F,38,31-40,0,19818,2,9658.64,0.69,253,38.18,1,MN,High school graduate,0
M,55,Above 50,0,19816,3,8557.82,0.66,242,35.36,3,IL,High school graduate,0
M,47,41-50,0,19815,5,9819.77,0.69,253,38.81,3,MD,Associate degree,0
M,59,Above 50,0,19814,4,8585.85,0.66,241,35.63,2,OR,High school graduate,0
F,38,31-40,0,19813,4,9594.09,0.70,256,37.48,3,AL,High school graduate,0
F,22,20-30,0,19812,3,10229.50,0.70,255,40.12,14,CA,Associate degree,1
F,23,20-30,0,19806,0,9000.53,0.67,246,36.59,9,MD,High school graduate,1
M,29,20-30,0,19804,1,9665.13,0.70,256,37.75,12,ID,High school graduate,1
F,45,41-50,0,19800,4,8629.27,0.66,240,35.96,3,FL,High school graduate,0
M,54,Above 50,0,19798,1,8330.35,0.66,240,34.71,8,ND,High school graduate,1
F,26,20-30,0,19794,3,8649.40,0.66,242,35.74,2,DC,High school graduate,0
F,72,Above 50,0,19788,1,9653.82,0.70,257,37.56,3,CT,High school graduate,0
M,46,41-50,0,19786,4,8751.27,0.66,241,36.31,2,RI,High school graduate,0
F,54,Above 50,0,19785,2,9812.25,0.70,257,38.18,3,SC,High school graduate,0
F,25,20-30,0,19782,2,8510.32,0.66,240,35.46,14,ND,High school graduate,1
F,27,20-30,0,19777,1,8519.93,0.66,241,35.35,7,ND,High school graduate,1
F,42,41-50,0,19776,1,8920.34,0.67,244,36.56,14,WA,Associate degree,1
M,52,Above 50,0,19774,1,8711.14,0.66,242,36.00,3,CT,Associate degree,0
M,32,31-40,0,19771,0,8638.95,0.66,240,36.00,3,DC,Associate degree,0
M,58,Above 50,0,19767,1,8424.38,0.66,241,34.96,3,FL,High school graduate,0
F,29,20-30,0,19763,4,8839.23,0.67,243,36.38,6,MI,Associate degree,1
F,30,20-30,0,19762,2,8648.74,0.66,242,35.74,11,MI,Associate degree,1
F,20,20-30,0,19761,1,8634.01,0.66,241,35.83,7,ID,High school graduate,1
F,33,31-40,0,19761,2,8371.61,0.66,240,34.88,4,WA,Associate degree,0
F,59,Above 50,0,19757,5,8762.29,0.67,244,35.91,5,PA,High school graduate,0
M,28,20-30,0,19756,1,8670.50,0.66,241,35.98,8,MD,High school graduate,1
F,37,31-40,0,19752,2,9400.08,0.70,255,36.86,3,TX,High school graduate,0
F,53,Above 50,0,19751,3,8400.60,0.66,241,34.86,3,CA,High school graduate,0
M,46,41-50,0,19748,3,8874.54,0.66,242,36.67,3,KS,Associate degree,0
F,69,Above 50,0,19744,3,8758.48,0.67,243,36.04,4,KS,High school graduate,0
M,38,31-40,0,19744,4,9586.65,0.70,256,37.45,2,ME,High school graduate,0
M,24,20-30,0,19744,0,9472.93,0.70,256,37.00,2,NH,High school graduate,0
M,34,31-40,0,19741,0,9568.23,0.70,255,37.52,9,OR,High school graduate,1
M,59,Above 50,0,19740,2,9722.37,0.70,255,38.13,2,AR,High school graduate,0
F,58,Above 50,0,19739,2,8640.69,0.66,241,35.85,5,WA,High school graduate,0
F,41,,0,19736,4,8515.03,0.65,239,35.63,3,MS,Associate degree,0
M,69,Above 50,0,19726,4,8515.88,0.66,242,35.19,1,CA,High school graduate,0
F,55,Above 50,0,19723,5,9762.21,0.70,254,38.43,2,NM,Associate degree,0
F,32,31-40,0,19719,1,8699.65,0.65,238,36.55,3,NE,Associate degree,0
M,68,Above 50,0,19718,4,8711.14,0.66,241,36.15,3,GA,Associate degree,0
F,42,41-50,0,19708,3,8406.92,0.66,241,34.88,3,NC,High school graduate,0
F,57,Above 50,0,19707,1,8633.84,0.66,241,35.83,2,DC,High school graduate,0
F,34,31-40,0,19707,3,9981.99,0.70,257,38.84,4,NV,High school graduate,0
M,32,31-40,0,19706,1,9910.64,0.70,257,38.56,8,OR,High school graduate,1
M,42,41-50,0,19705,2,10062.40,0.70,254,39.62,3,MT,Associate degree,0
M,35,31-40,0,19704,2,8741.15,0.66,240,36.42,4,NE,High school graduate,0
F,56,Above 50,0,19702,1,8754.68,0.67,244,35.88,1,AR,High school graduate,0
F,73,Above 50,0,19699,2,8428.65,0.66,240,35.12,3,NV,High school graduate,0
F,27,20-30,0,19698,1,8612.26,0.67,245,35.15,9,ND,Associate degree,1
F,23,20-30,0,19693,0,9978.12,0.70,255,39.13,17,CA,High school graduate,1
F,59,Above 50,0,19682,3,8484.49,0.65,238,35.65,2,NE,Associate degree,0
M,47,41-50,0,19677,4,8611.43,0.66,241,35.73,3,OH,High school graduate,0
F,36,31-40,0,19674,2,8490.43,0.67,246,34.51,4,WI,High school graduate,0
F,73,Above 50,0,19673,1,8582.10,0.67,245,35.03,6,OR,High school graduate,1
F,68,Above 50,0,19670,5,9958.97,0.70,255,39.05,2,MO,High school graduate,0
M,33,31-40,0,19669,1,9762.53,0.70,257,37.99,9,CA,High school graduate,1
M,41,,0,19669,5,9962.55,0.70,257,38.76,4,MO,Associate degree,0
M,61,Above 50,0,19669,3,8450.63,0.66,242,34.92,3,OK,High school graduate,0
F,35,31-40,0,19667,2,9880.72,0.70,254,38.90,3,KS,High school graduate,0
F,63,Above 50,0,19665,0,9600.71,0.70,256,37.50,3,VA,Associate degree,0
M,70,Above 50,0,19661,2,9923.60,0.70,254,39.07,4,RI,Associate degree,0
F,27,20-30,0,19661,0,8580.68,0.66,242,35.46,11,ND,High school graduate,1
F,30,20-30,0,19661,1,8619.32,0.66,240,35.91,2,CA,Associate degree,1
F,24,20-30,0,19656,1,8656.26,0.66,240,36.07,13,ND,High school graduate,1
M,67,Above 50,0,19653,2,8248.95,0.66,240,34.37,14,CA,High school graduate,1
M,62,Above 50,0,19651,5,8522.01,0.67,243,35.07,3,MA,High school graduate,0
M,42,41-50,0,19644,2,8475.25,0.66,240,35.31,2,MT,High school graduate,0
F,63,Above 50,0,19644,1,8838.75,0.66,242,36.52,3,DE,Associate degree,0
F,54,Above 50,0,19642,3,8371.21,0.65,238,35.17,2,OR,High school graduate,0
F,26,20-30,0,19635,2,8901.07,0.66,242,36.78,3,MI,High school graduate,1
M,70,Above 50,0,19633,1,8692.20,0.67,244,35.62,4,DE,High school graduate,0
M,54,Above 50,0,19627,5,8448.57,0.65,238,35.50,3,RI,High school graduate,0
M,55,Above 50,0,19624,2,9577.45,0.70,254,37.71,2,AR,High school graduate,0
F,38,31-40,0,19621,5,8426.29,0.66,241,34.96,3,NM,High school graduate,0
M,33,31-40,0,19620,1,8509.61,0.65,239,35.61,12,ID,Associate degree,1
F,49,41-50,0,19616,2,8415.11,0.66,241,34.92,2,CT,High school graduate,0
F,35,31-40,0,19616,3,9625.64,0.69,253,38.05,4,CA,Associate degree,0
M,28,20-30,0,19615,0,9641.86,0.69,252,38.26,10,WA,High school graduate,1
M,52,Above 50,0,19613,3,8514.69,0.66,241,35.33,4,KS,High school graduate,0
M,56,Above 50,0,19606,2,8803.54,0.66,241,36.53,4,WY,High school graduate,0
F,43,41-50,0,19605,0,8595.35,0.66,240,35.81,11,CA,Associate degree,1
